city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Winthrop,Winthrop,MN,Minnesota,27143,Sibley,27143,Sibley,44.5427,-94.361,1354,443,polygon,FALSE,TRUE,America/Chicago,3,55396,1840010013
Janesville,Janesville,MN,Minnesota,27161,Waseca,27161,Waseca,44.1214,-93.7107,2259,498,polygon,FALSE,TRUE,America/Chicago,3,56048,1840007915
Park Rapids,Park Rapids,MN,Minnesota,27057,Hubbard,27057,Hubbard,46.917,-95.0596,3683,223,polygon,FALSE,TRUE,America/Chicago,3,56470,1840008839
Graceville,Graceville,MN,Minnesota,27011,Big Stone,27011,Big Stone,45.5686,-96.4372,552,367,polygon,FALSE,TRUE,America/Chicago,3,56240,1840007791
Granada,Granada,MN,Minnesota,27091,Martin,27091,Martin,43.6933,-94.3495,286,189,polygon,FALSE,TRUE,America/Chicago,3,56039,1840007951
Lonsdale,Lonsdale,MN,Minnesota,27131,Rice,27131,Rice,44.4776,-93.422,3766,584,polygon,FALSE,TRUE,America/Chicago,3,55046,1840008969
Hayward,Hayward,MN,Minnesota,27047,Freeborn,27047,Freeborn,43.6499,-93.246,244,154,polygon,FALSE,TRUE,America/Chicago,3,56043,1840006827
Vadnais Heights,Vadnais Heights,MN,Minnesota,27123,Ramsey,27123,Ramsey,45.057,-93.0747,13561,749,polygon,FALSE,TRUE,America/Chicago,3,55127 55110,1840010004
Medina,Medina,MN,Minnesota,27053,Hennepin,27053,Hennepin,45.0326,-93.5834,6460,97,polygon,FALSE,TRUE,America/Chicago,3,55340 55356 55359,1840007827
Medicine Lake,Medicine Lake,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.998,-93.4195,375,839,polygon,FALSE,TRUE,America/Chicago,3,55441,1840007826
Kettle River,Kettle River,MN,Minnesota,27017,Carlton,27017,Carlton,46.4862,-92.8775,175,174,polygon,FALSE,TRUE,America/Chicago,3,55757,1840007744
Fisher,Fisher,MN,Minnesota,27119,Polk,27119,Polk,47.7993,-96.7995,424,384,polygon,FALSE,TRUE,America/Chicago,3,56723,1840007703
Hanover,Hanover,MN,Minnesota,27171,Wright,27171|27053,Wright|Hennepin,45.158,-93.6631,3456,244,polygon,FALSE,TRUE,America/Chicago,3,55341,1840006708
Heron Lake,Heron Lake,MN,Minnesota,27063,Jackson,27063,Jackson,43.7981,-95.3197,656,203,polygon,FALSE,TRUE,America/Chicago,3,56137,1840006840
Hokah,Hokah,MN,Minnesota,27055,Houston,27055,Houston,43.7598,-91.3501,553,305,polygon,FALSE,TRUE,America/Chicago,3,55941,1840006834
Watertown,Watertown,MN,Minnesota,27019,Carver,27019,Carver,44.9603,-93.8431,4365,644,polygon,FALSE,TRUE,America/Chicago,3,55388,1840010009
Lafayette,Lafayette,MN,Minnesota,27103,Nicollet,27103,Nicollet,44.4471,-94.3927,492,151,polygon,FALSE,TRUE,America/Chicago,3,56054,1840007897
Twin Valley,Twin Valley,MN,Minnesota,27107,Norman,27107,Norman,47.2589,-96.2592,783,353,polygon,FALSE,TRUE,America/Chicago,3,56584,1840009966
Hampton,Hampton,MN,Minnesota,27037,Dakota,27037,Dakota,44.6085,-93.0025,696,218,polygon,FALSE,TRUE,America/Chicago,3,55031,1840006769
Kasota,Kasota,MN,Minnesota,27079,Le Sueur,27079,Le Sueur,44.2916,-93.969,662,210,polygon,FALSE,TRUE,America/Chicago,3,56050 56082,1840007884
Inver Grove Heights,Inver Grove Heights,MN,Minnesota,27037,Dakota,27037,Dakota,44.8247,-93.0596,35392,490,polygon,FALSE,TRUE,America/Chicago,3,55077 55076,1840007858
Hitterdal,Hitterdal,MN,Minnesota,27027,Clay,27027,Clay,46.9778,-96.2584,210,94,polygon,FALSE,TRUE,America/Chicago,3,56552,1840006636
Denham,Denham,MN,Minnesota,27115,Pine,27115,Pine,46.3617,-92.9415,34,9,polygon,FALSE,TRUE,America/Chicago,3,55783 55795,1840006663
Newfolden,Newfolden,MN,Minnesota,27089,Marshall,27089,Marshall,48.3568,-96.3298,367,139,polygon,FALSE,TRUE,America/Chicago,3,56738,1840007696
